id,numberOfRefs,buildTools,projectUrls,projectNames,revisionCommit,numberOfASTs,stars
6228536,4,eclipse|maven,https://github.com/fornacif/osgi-manager,fornacif/osgi-manager,d2a2d38d8732d95d33128d67cb4714ae782ab6ad,292,0
1442942,3,maven|idea,https://github.com/weijiancai/reserve,weijiancai/reserve,f2efc86f883e85fd58a1d939a6f3f0b5904747be,350,1
11888792,2,eclipse,https://github.com/thatJavaNerd/LJGM,thatJavaNerd/LJGM,c4ee1bf59721b6bfe5237dbceaafa07316ee8c09,157,0
3331472,8,ant,https://github.com/aguitarfreak/BioGUI,aguitarfreak/BioGUI,0aa548c65b7943c863bd9fcc75189bafac37a816,1932,1
7120238,8,eclipse,https://github.com/JanKoehnlein/FXDiagram,JanKoehnlein/FXDiagram,491fcdcdfa817e14ede263fac97578d4a9899924,4643,46
7969654,14,maven,https://github.com/ajiniesta/editorfx,ajiniesta/editorfx,0430cf2562affb9dda86a4f23974baff2c5e961a,658,0
12505461,4,ant,https://github.com/saibotore/itdb-desktop,saibotore/itdb-desktop,80e3c6797bf8cd9883d48fcf8f842e1bc536a6e2,1011,0
9922963,2,ant,https://github.com/srikalyc/FXTalk,srikalyc/FXTalk,9668d30672bbce6fc0e73631fad2bec455a058e9,111,6
11320629,43,ant|gradle,https://github.com/Phesus/Omoikane,Phesus/Omoikane,745bddc5710e22dc0588c5bba80f801d789b2cbc,5257,1
12574174,6,ant,https://github.com/simonsalykov/cirqwizard,simonsalykov/cirqwizard,693e2921b35de31ebd394b621ddbe813b9180b54,1576,24
7221903,10,eclipse,https://github.com/RoelSchevenels/Quiz-project,RoelSchevenels/Quiz-project,158b78731a773f541078ebaafe42036aae0477ab,671,1
10391838,26,maven,https://github.com/jdub1581/magefx-client,jdub1581/magefx-client,7cba32fbe68db572d7fbdd133c883b1bef40f50e,4129,-1
9362534,1,,https://github.com/amedw/OnlineModInstaler,amedw/OnlineModInstaler,3b9012c4653f0742d2c3739a9221944d716829df,41,-1
11471221,2,eclipse,https://github.com/swrdlgc/Study,swrdlgc/Study,781ee5407280bba7bf559f23f46381f5ac7aceca,252,0
