id,numberOfRefs,buildTools,projectUrls,projectNames,revisionCommit,numberOfASTs,stars
8358706,1,maven,https://github.com/teknaut/psychic-octo-ironman,teknaut/psychic-octo-ironman,4701c856e8bf47d41cb87cfd2fe4bf6b4bcb0c2a,85,0
11838096,1,,https://github.com/blakepark/test_play_2,blakepark/test_play_2,d1bbb3b970b6347b7d673a077ba5095d5e33362a,43,-1
6307747,6,,https://github.com/Xtremecode-asia/Sample.Extjs.Play,Xtremecode-asia/Sample.Extjs.Play,fedca35997fd75bfb4aada9fc6112f67410fd0cf,627,0
11533633,1,,https://github.com/TigheFagan/Play,TigheFagan/Play,eaa6e6f960d86162c7500ac9ef4490b69188c80b,43,0
11223928,1,eclipse,https://github.com/mja2637/akka-smokers-refactor,mja2637/akka-smokers-refactor,45bac204bed1c2929941fc5dd904403e53731105,182,0
6154169,4,maven,https://github.com/yidao620c/codetable,yidao620c/codetable,63b9c61f76da8cb551c0bd86fe911a5648c6044e,507,-1
6267544,3,sbt,https://github.com/digicyc/TransActor,digicyc/TransActor,b4b328e29ec3445369edeb813aefdba5a13ec11b,151,0
1190930,11,,https://github.com/ymasory/scala-corpus,ymasory/scala-corpus,e79fc959cd918959d8d8b5d9fdf4a3dc183f1121,807,19
1981821,11,maven|ant,https://github.com/rackerlabs/repose,rackerlabs/repose,27e6877baf1ff30a1d83d62ff6848d1c3f27869f,786,291
11313147,2,maven,https://github.com/epdittmer/hermes,epdittmer/hermes,5f96e2bb482e7a8f0d3f3487a4432b935087a3a1,559,-1
12238914,1,maven,https://github.com/igvel/JavaStudy,igvel/JavaStudy,49751c73053486b05e7196b865570da293e932a9,188,2
5364814,1,maven,https://github.com/geekingfrog/akka,geekingfrog/akka,92c1c507a072d5107c93c1326247535d29e877f1,111,0
12619319,1,,https://github.com/brianmcgee/play-typesafe-console-example,brianmcgee/play-typesafe-console-example,e4de88806000cf4923ce5bd75462f86427d7c252,87,-1
8833348,2,maven,https://github.com/ihr/akka-blocking,ihr/akka-blocking,a2c2f842b2b9b7c277970250e12ff45c0521218f,143,1
6861973,1,maven,https://github.com/joerx/akka-tutorial,joerx/akka-tutorial,7d7489c29838e009dbaa9d38a394a327241132bf,92,2
